v183ciuo,ciuolabel,ciuo1diglabel,ciuo3cat
0,Oc. Militares,0. Oc. militares,Blue-collar workers
1,Of. FF.AA.,0. Oc. militares,Blue-collar workers
2,Suboficiales FF.AA.,0. Oc. militares,Blue-collar workers
3,Miemb. FF.AA n/c,0. Oc. militares,Blue-collar workers
11,Of. FF.AA.,0. Oc. militares,White-collar workers
21,Suboficiales FF.AA.,0. Oc. militares,Blue-collar workers
31,Miemb. FF.AA n/c,0. Oc. militares,Blue-collar workers
110,Of. FF.AA.,0. Oc. militares,White-collar workers
210,Suboficiales FF.AA.,0. Oc. militares,Blue-collar workers
310,Miemb. FF.AA n/c,0. Oc. militares,Blue-collar workers
1000,Dir. Y Ger.,1. Gerentes y directivos,White-collar workers
1100,Dir. Admin. Pública,1. Gerentes y directivos,White-collar workers
1110,Miemb. Poder judicial,1. Gerentes y directivos,White-collar workers
1111,Miemb. Poder legislativo,1. Gerentes y directivos,White-collar workers
1112,Direct. Adm. Pública,1. Gerentes y directivos,White-collar workers
1113,Jefes de pequeñas poblaciones,1. Gerentes y directivos,White-collar workers
1114,Dir. Org. Interés especial,1. Gerentes y directivos,White-collar workers
1120,Ger. Generales,1. Gerentes y directivos,White-collar workers
1200,Dir. adm. y com.,1. Gerentes y directivos,White-collar workers
1210,Dir. adm. y serv.,1. Gerentes y directivos,White-collar workers
1211,Dir. Financieros,1. Gerentes y directivos,White-collar workers
1212,Dir. RR.HH.,1. Gerentes y directivos,White-collar workers
1213,Dir. Pol. y planificación,1. Gerentes y directivos,White-collar workers
1219,Dir. Servicios n/c,1. Gerentes y directivos,White-collar workers
1220,Dir. Ventas y com,1. Gerentes y directivos,White-collar workers
1221,Dir. Ventas y com,1. Gerentes y directivos,White-collar workers
1222,Dir. Publicidad y rel públicas,1. Gerentes y directivos,White-collar workers
1223,Dir R&D,1. Gerentes y directivos,White-collar workers
1300,Dir. Producción,1. Gerentes y directivos,White-collar workers
1310,Dir. Prod agropecuaria,1. Gerentes y directivos,White-collar workers
1311,Dir. Prod agropecuaria,1. Gerentes y directivos,White-collar workers
1312,Dir. Prod pisicultura,1. Gerentes y directivos,White-collar workers
1320,"Dir. Ind manufacturera, minería",1. Gerentes y directivos,White-collar workers
1321,Dir. Ind manufacturera,1. Gerentes y directivos,White-collar workers
1322,Dir. minería,1. Gerentes y directivos,White-collar workers
1323,Dir. emp. construcción,1. Gerentes y directivos,White-collar workers
1324,"Dir. emp. abastecimiento, distribución y afines",1. Gerentes y directivos,White-collar workers
1330,Dir. serv. IT,1. Gerentes y directivos,White-collar workers
1340,Dir. serv. profesionales,1. Gerentes y directivos,White-collar workers
1341,Dir. Cuidados infantiles,1. Gerentes y directivos,White-collar workers
1342,Dir. serv. salud,1. Gerentes y directivos,White-collar workers
1343,Dir. Cuid. Pers edad.,1. Gerentes y directivos,White-collar workers
1344,Dir. bienestar social,1. Gerentes y directivos,White-collar workers
1345,Dir. Serv. Educación,1. Gerentes y directivos,White-collar workers
1346,Ger bancos y serv financieros,1. Gerentes y directivos,White-collar workers
1349,Dir. serv. profesionales,1. Gerentes y directivos,White-collar workers
1400,Ger. Hoteles y restaurantes,1. Gerentes y directivos,White-collar workers
1410,Ger. hot. y rest.,1. Gerentes y directivos,White-collar workers
1411,Ger. Hoteles,1. Gerentes y directivos,White-collar workers
1412,Ger. Restaurantes,1. Gerentes y directivos,White-collar workers
1420,Ger. Com. Por mayor,1. Gerentes y directivos,White-collar workers
1430,Ger. n/c,1. Gerentes y directivos,White-collar workers
1431,"Ger cent. Deportivos, esparicmiento y culturales",1. Gerentes y directivos,White-collar workers
1439,Ger. Serv. n/c,1. Gerentes y directivos,White-collar workers
2000,Profesionales científicos e intelectuales,2. Profesionales,White-collar workers
2100,Prof. ciencia e ingeniería,2. Profesionales,White-collar workers
2111,Físicos y astrónomos,2. Profesionales,White-collar workers
2112,Meteorólogos,2. Profesionales,White-collar workers
2113,Químicos,2. Profesionales,White-collar workers
2114,Geólogos y geofísicos,2. Profesionales,White-collar workers
2120,"Matemáticos, actuarios y estadísticos",2. Profesionales,White-collar workers
2130,Prof. Biología,2. Profesionales,White-collar workers
2131,"Biólogos, botánicos, zoólogos y afines",2. Profesionales,White-collar workers
2132,Agrónomos y afines,2. Profesionales,White-collar workers
2133,Prof. Protec. med.ambiental,2. Profesionales,White-collar workers
2140,Ingenieros,2. Profesionales,White-collar workers
2141,Ing. Industriales y producción,2. Profesionales,White-collar workers
2142,Ingenieros civiles,2. Profesionales,White-collar workers
2143,Ing. med.ambiental,2. Profesionales,White-collar workers
2144,Ing. Mecánicos,2. Profesionales,White-collar workers
2145,Ing. Químicos,2. Profesionales,White-collar workers
2146,Ing. Met. Y minas,2. Profesionales,White-collar workers
2149,Ingenieros n/c,2. Profesionales,White-collar workers
2150,Ing. Electrotécnología,2. Profesionales,White-collar workers
2151,Ing. Electricista,2. Profesionales,White-collar workers
2152,Ing. Electrónicos,2. Profesionales,White-collar workers
2153,Ing. Telecomunicaciones,2. Profesionales,White-collar workers
2160,"Arquitectos, urbanistas, agrimensores y diseñadores",2. Profesionales,White-collar workers
2161,Arquitectos,2. Profesionales,White-collar workers
2162,Arquitectos paisajistas,2. Profesionales,White-collar workers
2163,Dis. Prendas y productos,2. Profesionales,White-collar workers
2164,Urbanistas e ingenieros de tránsito,2. Profesionales,White-collar workers
2165,Cartógrafos y agrimensores,2. Profesionales,White-collar workers
2166,Dis. gráficos,2. Profesionales,White-collar workers
2200,Prof. Salud,2. Profesionales,White-collar workers
2210,Médicos,2. Profesionales,White-collar workers
2211,Médicos generales,2. Profesionales,White-collar workers
2212,Médicos especialistas,2. Profesionales,White-collar workers
2220,Prof. Enfermería y partería,2. Profesionales,White-collar workers
2221,Prof. Enfermería y partería,2. Profesionales,White-collar workers
2222,Prof. Partería,2. Profesionales,White-collar workers
2230,Prof. Medicina tradicional y alternativa,2. Profesionales,White-collar workers
2240,Paramédicos,2. Profesionales,White-collar workers
2250,Veterinarios,2. Profesionales,White-collar workers
2260,Prof. Salud,2. Profesionales,White-collar workers
2261,Dentistas,2. Profesionales,White-collar workers
2262,Farmacéuticos,2. Profesionales,White-collar workers
2263,Prof. Salud e higiene laboral,2. Profesionales,White-collar workers
2264,Fisioterapeutas,2. Profesionales,White-collar workers
2265,Dietistas y nutricionistas,2. Profesionales,White-collar workers
2266,Audiólogos y logopedas,2. Profesionales,White-collar workers
2267,Optometristas,2. Profesionales,White-collar workers
2269,Prof. Salud n/c,2. Profesionales,White-collar workers
2300,General Education Teacher,2. Profesionales,White-collar workers
2310,Prof. Universitarios y ed superior,2. Profesionales,White-collar workers
2320,Prof. Form. Profesional,2. Profesionales,White-collar workers
2330,Prof. Secundarios,2. Profesionales,White-collar workers
2340,Maest. Primaria y preescolar,2. Profesionales,White-collar workers
2341,Maest. Primaria,2. Profesionales,White-collar workers
2342,Maest. Preescolar,2. Profesionales,White-collar workers
